video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=aZ5EsdnpLMI&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@60minutes,60 Minutes,Artificial Intelligence | 60 Minutes Full Episodes,3.2M,4 weeks,"From January 2019, Scott Pelley's interview with ""the oracle of AI,"" Kai-Fu Lee. From this past April, Pelley's report on Google's AI ...",2024-01-30 07:47:14.524768
/watch?v=Sqa8Zo2XWc4&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@LastWeekTonight,LastWeekTonight,Artificial Intelligence: Last Week Tonight with John Oliver (HBO),9.7M,11 months,"Artificial intelligence is increasingly becoming part of our lives, from self-driving cars to ChatGPT. John Oliver discusses how AI ...",2024-01-30 07:47:14.534422
/watch?v=vb_Os_AJXjY&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@TheRoyalInstitution,The Royal Institution,From artificial intelligence to hybrid intelligence - with Catholijn Jonker,18K,5 days,"Hybrid Intelligence (HI) is the combination of human intelligence with artificial intelligence, enabling humans and AI to mutally ...",2024-01-30 07:47:24.891428
/watch?v=D2JY38VShxI&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@TheRoyalInstitution,The Royal Institution,What is Artificial Intelligence? with Mike Wooldridge,37K,1 month,"Hear more from the 2023 CHRISTMAS LECTURER, Mike Wooldridge, as he explains what Artificial Intelligence is. This year's ...",2024-01-30 07:47:24.896200
/watch?v=1cKE12LK4Eo&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@CuriosityStreaming,Curiosity Stream,AI Tipping Point | Full Documentary | Curiosity Stream,252K,2 months,"With Artificial Intelligence evolving so rapidly, will it surpass human intelligence? Could this lead to our replacement—or, worse, ...",2024-01-30 07:47:24.898860
/watch?v=0ZESX1BOgL4&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@Koranos,Koranos,The Future of Artificial Intelligence (Animated),48K,9 days,What will artificial intelligence be like in the future? The growth of AI has already amazed the world. The time-lapse of events so far ...,2024-01-30 07:47:24.903841
/watch?v=E_a78HF4Q1c&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@BBCNews,BBC News,AI: Google Deepmind makes breakthrough in difficult artificial intelligence test | BBC News,204K,11 days,"Google has created a new AI system that is able to solve complex geometry problems, the company says. Geometry is specifically ...",2024-01-30 07:47:24.911617
/watch?v=ad79nYk2keg&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@SimplilearnOfficial,Simplilearn,What Is AI? | Artificial Intelligence | What is Artificial Intelligence? | AI In 5 Mins |Simplilearn,1.8M,4 years,"This video on ""What is Artificial Intelligence"" will give you a brief overview of artificial intelligence as a technology in just 5 minutes.",2024-01-30 07:47:24.916144
/watch?v=tFx_UNW9I1U&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@FutureBusinessTech,Future Business Tech,The 10 Stages of Artificial Intelligence,653K,3 months,___ SOURCES: • https://www.linkedin.com/pulse/whats-next-ai-10-stages-igor-van-gemert • The Singularity Is Near: When ...,2024-01-30 07:47:24.920824
/watch?v=GBcn0iGS9Yg&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@aljazeeraenglish,Al Jazeera English,Russia’s Artificial Intelligence push: Companies develop tech without overseas help,62K,1 day,Artificial intelligence strategies are a government priority in Russia. But after the launch of its so-called special military operation in ...,2024-01-30 07:47:24.929773
/watch?v=oV74Najm6Nc&pp=ygUXYXJ0aWZpY2lhbCBpbnRlbGxpZ2VuY2U%3D,/@edurekaIN,edureka!,What Is Artificial Intelligence? | Artificial Intelligence (AI) In 10 Minutes | Edureka,1.4M,4 years,Edureka Python Trainings Python Programming Certification: http://bit.ly/37rEsnA Python ...,2024-01-30 07:47:24.938534
