video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=9Ic0klFqawU&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@DWTravel,DW Travel,Winter Sports: How Climate Change Is Affecting Ski Resorts,15K,1 day,"The Alps have always been a safe bet for skiers—until now. As a consequence of climate change, there is less snow, and slopes ...",2024-01-30 07:15:10.150905
/watch?v=4S9sDyooxf4&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@SabineHossenfelder,Sabine Hossenfelder,I wasn't worried about climate change. Now I am.,781K,2 days,In this video I explain what climate sensitivity is and why it is important. Climate sensitivity is a number that roughly speaking tells ...,2024-01-30 07:15:10.153029
/watch?v=dcBXmj1nMTQ&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@aljazeeraenglish,Al Jazeera English,What is Climate Change? | Start Here,1.4M,4 years,"The hard facts about global warming - a defining issue of our time. Climate change is happening now, and even world leaders ...",2024-01-30 07:15:10.154900
/shorts/gwsFmhjZXs0,/channel/UCqksHV6MVMSu4T2BMFk3nmQ,Emerson Brophy,What if climate change isn't real?,2M,2 years,"Of course climate change is very real, apparent and terrifying. Please use this to understand how an underreaction to it is way ...",2024-01-30 07:15:10.159796
/shorts/qP5snsmmpEc,/@CNN,CNN,Christie reacts to Ramaswamy's climate change claims,908K,5 months,A question on climate change quickly turned personal between Republican presidential candidates Vivek Ramaswamy and Chris ...,2024-01-30 07:15:10.162758
/shorts/Zj4p7LW2Xpg,/@OxfordUnion,OxfordUnion,#shorts Climate Change debate,9.6K,1 year,shorts Climate Change debate #shorts #education #learning #inspiration #politics #debate ##oxford #oxforduniversity ...,2024-01-30 07:15:18.340621
/shorts/ysNv46MjCR8,/@Channel4News,Channel 4 News,Final warning on climate change,56K,10 months,UN scientists have given what they say is a final warning for how to save the planet from disastrous climate change. (Subscribe: ...,2024-01-30 07:15:18.343132
/shorts/Ekw3nBuqbf0,/@NasDaily,Nas Daily,How I Touched Climate Change #486,2.7M,8 months,"I saw icebergs breaking and melting - with my own eyes! When you see it, you can finally believe it. This is it for Greenland. I hope ...",2024-01-30 07:15:18.345391
/watch?v=wkqDJwTIg_E&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@pbsterra,PBS Terra,"Earth's Temperature Has Changed WILDLY, So What's the Big Deal About a Few Degrees?",141K,1 month,"If you take a look at global temperature graphs that span millions or billions of years, you can see that our planet's temperature ...",2024-01-30 07:15:18.347746
/watch?v=pEt6-jA2UE4&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@DWDocumentary,DW Documentary,Climate change - Averting catastrophe | DW Documentary,2.1M,6 months,"In the last 30 years, CO2 emissions have increased by 60 percent worldwide. The most pressing problem facing our civilization is ...",2024-01-30 07:15:18.350009
/shorts/M9B75shO18M,/@SpicyMoustache,Spicy Moustache,The easiest steps to fight the climate changes! #short #shorts,3.5M,1 year,Copyright @ Spicymoustache 2020. Any reproduction or illegal distribution of the content in any form will result in immediate ...,2024-01-30 07:15:18.352510
/shorts/kx6cIwZdn8Q,/@CBSNews,CBS News,Climate change activists dragged off road by their hair in Germany #shorts,632K,6 months,news #germany #climatechange.,2024-01-30 07:15:18.355197
/shorts/-iNWjFGoAx4,/@FoxNews,Fox News,Theoretical physicist makes stunning claim about climate change #laser,46K,4 months,Theoretical physicist Dr. Michio Kaku discusses whether lasers can help solve climate change. Subscribe to Fox News!,2024-01-30 07:15:18.357582
/shorts/GyXUnbkBG-4,/@YahooFinance,Yahoo Finance,Biden on climate change: Our bad 🇺🇸 #shorts,41K,7 months,President Biden addressed climate change and referred to China's international investments under the Belt and Road Initiative ...,2024-01-30 07:15:18.360149
/shorts/Re5jtsyhDFA,/@msnbc,MSNBC,Bill Nye on how to address climate change,232K,5 months,"Bill Nye invokes the film ""Oppenheimer"" when explaining how we should address climate change. » Subscribe to MSNBC: ...",2024-01-30 07:15:18.363436
/watch?v=LxgMdjyw8uw&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,We WILL Fix Climate Change!,10M,1 year,Our home is burning. Rapid climate change is destabilizing our world. It seems our emissions will not fall quickly enough to avoid ...,2024-01-30 07:15:18.373758
/watch?v=EtW2rrLHs08&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@NatGeo,National Geographic,Climate Change 101 with Bill Nye | National Geographic,2.8M,8 years,About National Geographic's 101 Series: Explore and experience the forces that shape the world around us. Get More National ...,2024-01-30 07:15:18.384472
/watch?v=J1KGnCj_cfM&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@SabineHossenfelder,Sabine Hossenfelder,How do we know climate change is caused by humans?,235K,4 days,In this video I summarize the main pieces of evidence that we have which show that climate change is caused by humans. This is ...,2024-01-30 07:15:18.404872
/watch?v=QlQ-MEZgRGY&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@environmentcan,Environment and Climate Change Canada,What is Climate Change?,322K,2 years,Everyone's talking about climate change but what is our climate? And why is it changing? Our climate has been changing much ...,2024-01-30 07:15:18.413803
/watch?v=k3-BKwuDShc&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@WION,WION,Climate change: 2023 smashes records for surface temperature and ocean heat | WION,3.6K,2 weeks,The seas are the most obvious sign of global warming because they absorb 90% of the heat that is trapped by carbon emissions ...,2024-01-30 07:15:18.422399
/watch?v=Y1mPWVzaGQY&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@crashcourse,CrashCourse,What is Climate Change?: Crash Course Biology #8,66K,5 months,Life on Earth has weathered boiling-hot oceans and volcanic-ash-darkened skies—but that's nothing like the climate change ...,2024-01-30 07:15:25.855243
/watch?v=tMwFNMfjFuU&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@crashcourse,CrashCourse,What is Climate Change? Crash Course Geography #14,285K,2 years,Today we're going to talk about climate change which is when there is a change in the average weather patterns in a region over ...,2024-01-30 07:15:25.859517
/shorts/5yeSDTBS4dA,/@ClimateAdam,ClimateAdam,5 ways YOU can fight Climate Change! #climatechange #shorts,7.5K,11 months,"Fighting climate change is important, but it can also be overwhelming. Well here's five important climate actions you can take ...",2024-01-30 07:15:25.862523
/watch?v=eAh9awb5968&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@ABCNews,ABC News,A collaboration of scientists is sounding the alarm on climate change,90K,4 months,The World Weather Attribution just released a report saying human-caused climate change played a big role in the catastrophic ...,2024-01-30 07:15:25.865651
/watch?v=3n69omzUFvM&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@SabineHossenfelder,Sabine Hossenfelder,"Reality is worse than climate models predict, new study finds",167K,6 days,"In recent years, these events have frequently been attributed to climate change. This “extreme event attribution” how it's called is a ...",2024-01-30 07:15:25.869026
/watch?v=E6bVBH9y5O8&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@besmart,Be Smart,The Biggest Myth About Climate Change,813K,1 year,You've seen it in the comment section before: “Climate change is natural. It's happened before and it will keep happening”.,2024-01-30 07:15:25.873459
/shorts/cKgAiWVnk6E,/@besmart,Be Smart,Climate change is turning sea turtles FEMALE?!,618K,3 weeks,"Another YouTube #shorts from your favorite science dad, Dr. Joe! Join us on Patreon! https://patreon.com/itsokaytobesmart ...",2024-01-30 07:15:25.876646
/shorts/pLVdV9jWfSo,/@SimonClark,Simon Clark,Is there actually any evidence for climate change? #science,3.6M,5 months,... atmospheric Oceanic cryological biological chemical and migratory evidence is there really any evidence for climate change.,2024-01-30 07:15:25.879933
/shorts/VKA_hDzdBSY,/@CBCTheNational,CBC News: The National,Climate change is changing Canadian winters,16K,2 years,"New climate data out this week shows that 2021 was a hot year — the sixth hottest on record, according to NASA. Probably not ...",2024-01-30 07:15:25.883532
/shorts/QUCT90DyBh0,/@besmart,Be Smart,Climate Change explained in less than 1 minute!,323K,1 year,"Another YouTube #shorts from your favorite science dad, Dr. Joe Sources: https://ourworldindata.org/atmospheric-concentrations ...",2024-01-30 07:15:25.886674
/shorts/dOI6Ivr0xjg,/@besmart,Be Smart,This PROVES that humans are causing climate change,900K,8 months,"Another YouTube #shorts from your favorite science dad, Dr. Joe! Learn how scientists measure the ancient atmosphere in this ...",2024-01-30 07:15:25.890705
/watch?v=5CbGpWlPXws&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@NBCNews,NBC News,Will climate change ever be a bipartisan issue?,3.1K,4 days,"From flooding, to wildfires, to increasing temperatures, climate change has become a prevalent issue as more Americans, even ...",2024-01-30 07:15:25.894065
/watch?v=wCo3XwTRg9o&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@RDCworld1,RDCworld1,How Scientists gonna act when the Climate finally Messes up the Earth,3.3M,1 year,Bro I know for a fact scientist is tired of telling us that we messing up the climate bro! Somebody got to listen to them! ~RDC Social ...,2024-01-30 07:15:25.897292
/watch?v=IJoAcD0oUww&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@SmileandLearnEnglish,Smile and Learn - English,Climate Change - The environment for Kids (Updated Version),395K,3 years,"Educational video for children to learn what climate change is, what can we do to stop it and take better care of our planet.",2024-01-30 07:15:25.901409
/watch?v=gX3vtpUqwk8&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@ADDvanced,ADDvanced,WORST SEASON EVER:  The Future of Snowmobiling & Climate Change,3.1K,1 day,Will snowmobiling have a future? While I sit around watching all of our snow melt in one of the worst snowmobiling seasons in ...,2024-01-30 07:15:25.904060
/shorts/8n36krG_b4s,/@Officialjadenwilliams,Jaden Williams,Let HIM COOK 🔥 #skit #funny #climatechange,13M,8 months,... sandals made from rubber I bet you posted this meat on Facebook didn't you sure seems you're awful climate change if you ask ...,2024-01-30 07:15:25.906993
/watch?v=cn9PhiDJp-A&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@Hopscotchsongs,Hopscotch,Climate Change Song,4.8M,2 years,"Song by Matt & Joanna Pace, in partnership with Octopus Electric Vehicles Video animated by Dakota Sheperd and Jason McNeil ...",2024-01-30 07:15:25.909553
