video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=5vjl6tdwmFA&pp=ygURc3BhY2UgZXhwbG9yYXRpb24%3D,/@HISTORY,HISTORY,The Universe: Dangerous DARK MATTER & Space Travel *3 Hour Marathon*,831K,2 months,What is REALLY hiding in our deep dark solar system? See more in this three hour marathon from The Universe. #TheUniverse ...,2024-01-30 07:56:32.682774
/watch?v=PlBzMx2On-g&pp=ygURc3BhY2UgZXhwbG9yYXRpb24%3D,/@SparkDocs,Spark,The Complete History Of Space Exploration | Beyond Our Earth | Spark,38K,9 months,"From Cold War competition to international collaboration, In Our Orbit traces the missions that surpassed each frontier, from the ...",2024-01-30 07:56:32.691348
/watch?v=7e5SK1JKa7U&pp=ygURc3BhY2UgZXhwbG9yYXRpb24%3D,/channel/UCstsO2Wf4sCWjauPZs35tlQ,Celestial Ambience,Space Exploration Music 🌠 Sleep / Focus / Study 10 Hours,392K,2 years,Exploring the cosmos... ⭐️ Original Music and Animation ⭐️ Track: Exploration Artist: Celestial Ambience ...,2024-01-30 07:56:32.701165
/watch?v=U-ARGAxePp4&pp=ygURc3BhY2UgZXhwbG9yYXRpb24%3D,/@TVQuantumUniverse,TV - Quantum Universe,"Space Exploration and NASA Colonization Plans, Documentary on Our Future Voyages to the Universe",341K,1 year,"Is it time for another 'giant leap?' In 2080, NASA scientists believe we can and must send people to Jupiter's and Saturn's moons.",2024-01-30 07:56:41.479710
/watch?v=cm8OHGvl4Oc&pp=ygURc3BhY2UgZXhwbG9yYXRpb24%3D,/@WorldScienceFestival,World Science Festival,The New Golden Age of Space Exploration,94K,6 months,"space #NASA #JWST In the next two decades, human beings will return to the moon, set foot on Mars, and launch telescopes ...",2024-01-30 07:56:41.487070
/watch?v=FUChrd72SQU&pp=ygURc3BhY2UgZXhwbG9yYXRpb24%3D,/@PBSNewsHour,PBS NewsHour,A look at 2023's discoveries in space exploration,46K,4 weeks,"In 2023, we saw incredibly detailed images from the most advanced telescope in space and the 25th year of a global partnership ...",2024-01-30 07:56:41.490279
/watch?v=8hRJ-CcwvrI&pp=ygURc3BhY2UgZXhwbG9yYXRpb24%3D,/@DoshDoshington,DoshDoshington,How hard is it to beat SPACE EXPLORATION | The 300 Hour Factorio Mod,2.3M,1 year,0:00 Intro 0:53 Run Starts 6:13 Actual Science 17:30 First Satellite 25:03 In Space 39:42 Expanding 45:34 Base Number Two ...,2024-01-30 07:56:41.500316
/watch?v=eNmfRHZeNHE&pp=ygURc3BhY2UgZXhwbG9yYXRpb24%3D,/@Exolifespace,Exolife,Unusual Phenomena in the Cosmos. A Deep Space Exploration,70K,1 month,Are you curious about the secrets of the universe? Do you want to learn about the most unusual phenomena in the cosmos?,2024-01-30 07:56:41.510838
/watch?v=aDEjWB9G0p4&pp=ygURc3BhY2UgZXhwbG9yYXRpb24%3D,/@NEWSCENTERMaine,NEWS CENTER Maine,NASA delays launch for SpaceX Crew-8 mission,263,1 day,"... commercial crew program is being delayed until late February, mainly because of the high volume of space travel happening ...",2024-01-30 07:56:41.517291
/watch?v=PLcE3AI9wwE&pp=ygURc3BhY2UgZXhwbG9yYXRpb24%3D,/@DavidPetersonAU,David Peterson,Escape Velocity - A Quick History of Space Exploration,4.8M,7 years,"From the first rocket launch in 1926 to Gagarin, Armstrong, Hubble, Curiosity and beyond, take a fast ride through the 90 years of ...",2024-01-30 07:56:41.518991
